2013-02-28 06:48:21 install sysvinit-utils:i386 <none> 2.88dsf-41
2013-02-28 06:48:21 status half-installed sysvinit-utils:i386 2.88dsf-41
2013-02-28 06:48:21 status unpacked sysvinit-utils:i386 2.88dsf-41
2013-02-28 06:48:21 status unpacked sysvinit-utils:i386 2.88dsf-41
2013-02-28 06:48:21 install tar:i386 <none> 1.26+dfsg-0.1
2013-02-28 06:48:21 status half-installed tar:i386 1.26+dfsg-0.1
2013-02-28 06:48:21 status unpacked tar:i386 1.26+dfsg-0.1
2013-02-28 06:48:21 status unpacked tar:i386 1.26+dfsg-0.1
2013-02-28 06:48:21 install tzdata:all <none> 2012j-1
2013-02-28 06:48:21 status half-installed tzdata:all 2012j-1
2013-02-28 06:48:21 status unpacked tzdata:all 2012j-1
2013-02-28 06:48:21 status unpacked tzdata:all 2012j-1
2013-02-28 06:48:21 install libustr-1.0-1:i386 <none> 1.0.4-3
2013-02-28 06:48:21 status half-installed libustr-1.0-1:i386 1.0.4-3
2013-02-28 06:48:21 status unpacked libustr-1.0-1:i386 1.0.4-3
2013-02-28 06:48:21 status unpacked libustr-1.0-1:i386 1.0.4-3
2013-02-28 06:48:21 install bsdutils:i386 <none> 1:2.20.1-5.3
2013-02-28 06:48:21 status half-installed bsdutils:i386 1:2.20.1-5.3
2013-02-28 06:48:21 status unpacked bsdutils:i386 1:2.20.1-5.3
2013-02-28 06:48:22 status unpacked bsdutils:i386 1:2.20.1-5.3
2013-02-28 06:48:22 install libblkid1:i386 <none> 2.20.1-5.3
2013-02-28 06:48:22 status half-installed libblkid1:i386 2.20.1-5.3
2013-02-28 06:48:22 status unpacked libblkid1:i386 2.20.1-5.3
2013-02-28 06:48:22 status unpacked libblkid1:i386 2.20.1-5.3
2013-02-28 06:48:22 install libmount1:i386 <none> 2.20.1-5.3
2013-02-28 06:48:22 status half-installed libmount1:i386 2.20.1-5.3
2013-02-28 06:48:22 status unpacked libmount1:i386 2.20.1-5.3
2013-02-28 06:48:22 status unpacked libmount1:i386 2.20.1-5.3
2013-02-28 06:48:22 install libuuid1:i386 <none> 2.20.1-5.3
2013-02-28 06:48:22 status half-installed libuuid1:i386 2.20.1-5.3
2013-02-28 06:48:22 status unpacked libuuid1:i386 2.20.1-5.3
2013-02-28 06:48:22 status unpacked libuuid1:i386 2.20.1-5.3
2013-02-28 06:48:22 install mount:i386 <none> 2.20.1-5.3
2013-02-28 06:48:22 status half-installed mount:i386 2.20.1-5.3
2013-02-28 06:48:22 status unpacked mount:i386 2.20.1-5.3
2013-02-28 06:48:22 status unpacked mount:i386 2.20.1-5.3
2013-02-28 06:48:22 install util-linux:i386 <none> 2.20.1-5.3
2013-02-28 06:48:22 status half-installed util-linux:i386 2.20.1-5.3
2013-02-28 06:48:22 status unpacked util-linux:i386 2.20.1-5.3
2013-02-28 06:48:22 status unpacked util-linux:i386 2.20.1-5.3
2013-02-28 06:48:22 install liblzma5:i386 <none> 5.1.1alpha+20120614-2
2013-02-28 06:48:22 status half-installed liblzma5:i386 5.1.1alpha+20120614-2
2013-02-28 06:48:22 status unpacked liblzma5:i386 5.1.1alpha+20120614-2
2013-02-28 06:48:22 status unpacked liblzma5:i386 5.1.1alpha+20120614-2
2013-02-28 06:48:22 install xz-utils:i386 <none> 5.1.1alpha+20120614-2
2013-02-28 06:48:22 status half-installed xz-utils:i386 5.1.1alpha+20120614-2
2013-02-28 06:48:22 status unpacked xz-utils:i386 5.1.1alpha+20120614-2
2013-02-28 06:48:22 status unpacked xz-utils:i386 5.1.1alpha+20120614-2
2013-02-28 06:48:22 install zlib1g:i386 <none> 1:1.2.7.dfsg-13
2013-02-28 06:48:22 status half-installed zlib1g:i386 1:1.2.7.dfsg-13
2013-02-28 06:48:22 status unpacked zlib1g:i386 1:1.2.7.dfsg-13
2013-02-28 06:48:22 status unpacked zlib1g:i386 1:1.2.7.dfsg-13
2013-02-28 06:48:22 startup packages configure
2013-02-28 06:48:22 configure lsb-base:all 4.1+Debian9 <none>
2013-02-28 06:48:22 status unpacked lsb-base:all 4.1+Debian9
2013-02-28 06:48:22 status half-configured lsb-base:all 4.1+Debian9
2013-02-28 06:48:22 status installed lsb-base:all 4.1+Debian9
2013-02-28 06:48:22 configure ncurses-base:all 5.9-10 <none>
2013-02-28 06:48:22 status unpacked ncurses-base:all 5.9-10
2013-02-28 06:48:22 status unpacked ncurses-base:all 5.9-10
2013-02-28 06:48:22 status half-configured ncurses-base:all 5.9-10
2013-02-28 06:48:22 status installed ncurses-base:all 5.9-10
